"X","R3(1)","R2(1)","beta"
0,-1.#IND,-1.#IND,-1.#IND
10,-1.#IND,-1.#IND,-1.#IND
20,0.00720064,0.132067,0.0545228
30,0.00684962,0.0977174,0.0700963
40,0.00663749,0.0771006,0.0860887
50,0.006495,0.0633497,0.102526
60,0.00639245,0.0535231,0.119434
70,0.00631497,0.0461497,0.136837
80,0.00625419,0.0404125,0.154759
90,0.00620518,0.035821,0.173228
100,0.00616476,0.032063,0.192271
110,0.00613079,0.0289302,0.211917
120,0.00610181,0.0262787,0.232196
130,0.00607677,0.0240053,0.253143
140,0.00605484,0.0220345,0.274789
150,0.0060355,0.0203097,0.297173
160,0.00601827,0.0187875,0.320333
170,0.00600281,0.0174343,0.344311
180,0.00598884,0.0162232,0.369152
190,0.00597669,0.0151331,0.39494
200,0.00596454,0.0141467,0.421619
210,0.00595429,0.0132499,0.449383
220,0.00594405,0.012431,0.478163
230,0.00593524,0.0116803,0.508143
240,0.00592644,0.0109896,0.53928
250,0.00591877,0.0103519,0.571755
260,0.0059111,0.00976154,0.605549
270,0.00590432,0.0092133,0.640847
280,0.00589754,0.00870288,0.677654
290,0.00589148,0.00822648,0.71616
300,0.00588542,0.00778084,0.7564
310,0.00588006,0.00736306,0.798589
320,0.00587471,0.00697065,0.842778
330,0.00586935,0.00660134,0.889115
340,0.00586465,0.00625317,0.937869
350,0.00585996,0.00592438,0.989125
360,0.00585526,0.00561341,1.04308
370,0.00585106,0.00531885,1.10006
380,0.00584685,0.00503945,1.16022
390,0.00584265,0.00477407,1.22383
400,0.00583887,0.0045217,1.2913
410,0.00583509,0.0042814,1.36289
420,0.00583131,0.00405235,1.439
430,0.00582754,0.00383376,1.52006
440,0.00582411,0.00362498,1.60666
450,0.00582069,0.00342535,1.6993
460,0.00581727,0.00323429,1.79862
470,0.00581384,0.00305128,1.90538
480,0.00581042,0.00287582,2.02044
490,0.0058072,0.00270748,2.14487
500,0.00580399,0.00254584,2.2798
510,0.00580077,0.00239052,2.42658
520,0.00579756,0.00224116,2.58685
530,0.00579434,0.00209747,2.76254
540,0.00579113,0.00195912,2.95598
550,0.00578791,0.00182585,3.16998
560,0.0057847,0.0016974,3.40797
570,0.00578148,0.00157354,3.67419
580,0.00577807,0.00145405,3.97379
590,0.00577467,0.00133872,4.31357
600,0.00577126,0.00122739,4.70206
610,0.00576786,0.00111987,5.15048
620,0.00576402,0.00101603,5.6731
630,0.00576019,0.000915716,6.29036
640,0.00575635,0.000818826,7.03001
650,0.00575193,0.00072526,7.93085
660,0.00574751,0.000634953,9.05187
670,0.00574224,0.000547868,10.4811
680,0.00573697,0.000464021,12.3636
690,0.00573011,0.000383501,14.9416
700,0.00572325,0.000306537,18.6707
710,0.0057141,0.000233623,24.4586
720,0.00570199,0.000165862,34.3779
730,0.00568395,0.000106026,53.609
740,0.00565176,6.19634e-005,91.2112
750,0.00559332,4.52636e-005,123.572
760,0.00552212,4.29068e-005,128.7
770,0.00545091,4.22206e-005,129.106
780,0.00538151,4.16548e-005,129.193
790,0.00531385,4.11103e-005,129.258
800,0.00524787,4.05805e-005,129.32
810,0.00518352,4.00643e-005,129.38
820,0.00512073,3.95613e-005,129.438
830,0.00505945,3.90709e-005,129.494
840,0.00499962,3.85926e-005,129.549
850,0.00494119,3.8126e-005,129.602
860,0.00488412,3.76707e-005,129.653
870,0.00482835,3.72263e-005,129.703
880,0.00477385,3.67924e-005,129.751
890,0.00472057,3.63686e-005,129.798
900,0.00466846,3.59545e-005,129.844
910,0.0046175,3.55499e-005,129.888
920,0.00456764,3.51544e-005,129.931
930,0.00451885,3.47677e-005,129.973
940,0.0044711,3.43895e-005,130.013
950,0.00442434,3.40196e-005,130.053
960,0.00437856,3.36576e-005,130.091
970,0.00433372,3.33033e-005,130.129
980,0.00428979,3.29565e-005,130.165
990,0.00424674,3.2617e-005,130.2
1000,0.00420455,3.22844e-005,130.235
